"Site Time","Production meter active power Kilowatts","POA Sensor Watts/meter²","Weather station module temperature Degrees Fahrenheit","Weather station ambient temperature Degrees Fahrenheit"
01-01-2024 00:00:00,0.044,0.179,30.74,87.98
01-01-2024 00:15:00,0.044,0.324,30.74,87.98
01-01-2024 00:30:00,0.045,0.094,30.74,87.98
01-01-2024 00:45:00,0.047,0.489,30.74,87.836
01-01-2024 01:00:00,0.047,0.364,30.74,87.926
01-01-2024 01:15:00,0.045,0.25,30.572,87.644
01-01-2024 01:30:00,0.046,0.496,30.392,87.362
01-01-2024 01:45:00,0.042,0.224,30.2,87.134
01-01-2024 02:00:00,0.047,0.47,30.002,86.816
01-01-2024 02:15:00,0.044,0.199,29.84,86.678
01-01-2024 02:30:00,0.045,0.187,29.66,86.408
01-01-2024 02:45:00,0.049,0.467,29.438,86
01-01-2024 03:00:00,0.043,0.381,29.3,85.67
01-01-2024 03:15:00,0.045,0.147,29.288,85.64
01-01-2024 03:30:00,0.044,0.114,29.252,85.64
01-01-2024 03:45:00,0.046,0.275,29.174,85.526
01-01-2024 04:00:00,0.042,0.399,29.12,85.364
01-01-2024 04:15:00,0.044,0.42,29.054,85.1
01-01-2024 04:30:00,0.046,0.316,28.874,84.848
01-01-2024 04:45:00,0.048,-0.344,28.67,84.626
01-01-2024 05:00:00,0.048,-0.14,28.58,84.56
01-01-2024 05:15:00,0.045,0.981,28.514,84.314
01-01-2024 05:30:00,0.044,0.163,28.262,83.792
01-01-2024 05:45:00,0.045,0.2,27.98,83.492
01-01-2024 06:00:00,0.045,0.299,27.794,83.12
01-01-2024 06:15:00,0.046,0.853,27.68,82.808
01-01-2024 06:30:00,0.044,0.324,27.602,82.4
01-01-2024 06:45:00,0.044,0.345,27.41,81.956
01-01-2024 07:00:00,0.043,0.696,27.218,81.698
01-01-2024 07:15:00,-0.31,1.952,27.146,81.572
01-01-2024 07:30:00,7.283,6.188,27.308,81.554
01-01-2024 07:45:00,24.013,13.541,27.398,81.53
01-01-2024 08:00:00,43.951,23.368,27.59,81.59
01-01-2024 08:15:00,56.951,29.371,27.734,81.554
01-01-2024 08:30:00,75.104,38.782,28.1,81.824
01-01-2024 08:45:00,86.208,45.797,28.238,81.992
01-01-2024 09:00:00,92.645,51.358,28.55,82.232
01-01-2024 09:15:00,101.075,61.055,28.874,82.442
01-01-2024 09:30:00,121.015,71.899,29.192,82.58
01-01-2024 09:45:00,133.335,77.69,29.456,82.748
01-01-2024 10:00:00,152.717,89.525,29.894,83.066
01-01-2024 10:15:00,185.578,104.725,30.212,83.066
01-01-2024 10:30:00,225.85,122.335,30.182,82.94
01-01-2024 10:45:00,286.585,151.735,30.746,83
01-01-2024 11:00:00,311.722,160.037,31.274,83.546
01-01-2024 11:15:00,345.743,168.998,31.064,83.642
01-01-2024 11:30:00,368.602,170,32.162,83.828
01-01-2024 11:45:00,341.039,153.017,33.68,84.614
01-01-2024 12:00:00,235.363,109.062,32.846,84.32
01-01-2024 12:15:00,215.037,101.795,32.66,84.5
01-01-2024 12:30:00,180.579,88.013,32.162,84.86
01-01-2024 12:45:00,195.11,98.751,31.802,84.656
01-01-2024 13:00:00,187.152,99.241,32.138,84.716
01-01-2024 13:15:00,190.697,104.269,32.528,85.262
01-01-2024 13:30:00,187.258,107.187,32.192,84.878
01-01-2024 13:45:00,166.729,100.651,32.258,84.926
01-01-2024 14:00:00,121.791,72.561,31.274,84.614
01-01-2024 14:15:00,124.869,72.695,30.764,84.158
01-01-2024 14:30:00,108.02,58.565,30.65,84.494
01-01-2024 14:45:00,99.871,52.037,30.32,84.518
01-01-2024 15:00:00,80.003,41.152,30.056,84.23
01-01-2024 15:15:00,81.724,41.673,29.486,83.9
01-01-2024 15:30:00,63.219,32.315,29.258,83.48
01-01-2024 15:45:00,40.707,22.383,29,83.63
01-01-2024 16:00:00,15.962,10.278,28.622,83.528
01-01-2024 16:15:00,2.255,3.078,28.466,83.87
01-01-2024 16:30:00,0.038,1.136,28.388,84.14
01-01-2024 16:45:00,0.037,0.549,28.376,84.086
01-01-2024 17:00:00,0.038,0.092,28.268,84.02
01-01-2024 17:15:00,0.041,0.203,28.304,84.182
01-01-2024 17:30:00,0.041,0.62,28.274,84.134
01-01-2024 17:45:00,0.042,0.472,28.154,83.75
01-01-2024 18:00:00,0.039,0.133,28.04,83.354
01-01-2024 18:15:00,0.042,0.577,27.974,83.258
01-01-2024 18:30:00,0.041,-0.453,27.86,83.198
01-01-2024 18:45:00,0.04,1.061,27.74,83.048
01-01-2024 19:00:00,0.042,-0.131,27.5,82.382
01-01-2024 19:15:00,0.043,0.171,27.398,82.4
01-01-2024 19:30:00,0.042,-0.098,27.422,82.352
01-01-2024 19:45:00,0.041,0.448,27.422,82.46
01-01-2024 20:00:00,0.044,0.257,27.374,82.37
01-01-2024 20:15:00,0.042,0.298,27.5,82.58
01-01-2024 20:30:00,0.041,0.87,27.494,82.574
01-01-2024 20:45:00,0.044,0.725,27.128,81.848
01-01-2024 21:00:00,0.043,0.352,26.78,81.116
01-01-2024 21:15:00,0.044,0.039,26.6,80.828
